,reason,service,probability
0,annual_visit,annual_vaccination,0.9
1,annual_visit,rabies_vaccination,0.75
2,annual_visit,physical_examination,1.0
3,annual_visit,blood_test,0.25
4,annual_visit,other_test,0.05
5,annual_visit,imaging,0.2
6,annual_visit,deworming,0.8
7,annual_visit,anti_parasitic_treatment,0.8
8,annual_visit,travel_papers,0.02
9,injured_pet,annual_vaccination,0.0
10,injured_pet,rabies_vaccination,0.0
11,injured_pet,physical_examination,1.0
12,injured_pet,blood_test,0.4
13,injured_pet,other_test,0.2
14,injured_pet,imaging,0.6
15,injured_pet,deworming,0.2
16,injured_pet,anti_parasitic_treatment,0.2
17,injured_pet,travel_papers,0.0
18,sick_pet,annual_vaccination,0.0
19,sick_pet,rabies_vaccination,0.0
20,sick_pet,physical_examination,1.0
21,sick_pet,blood_test,0.7
22,sick_pet,other_test,0.5
23,sick_pet,imaging,0.3
24,sick_pet,deworming,0.5
25,sick_pet,anti_parasitic_treatment,0.35
26,sick_pet,travel_papers,0.0
27,initial_visit,annual_vaccination,1.0
28,initial_visit,rabies_vaccination,0.9
29,initial_visit,physical_examination,1.0
30,initial_visit,blood_test,0.1
31,initial_visit,other_test,0.01
32,initial_visit,imaging,0.01
33,initial_visit,deworming,0.95
34,initial_visit,anti_parasitic_treatment,0.85
35,initial_visit,travel_papers,0.0
36,surgery,annual_vaccination,0.0
37,surgery,rabies_vaccination,0.0
38,surgery,physical_examination,0.0
39,surgery,blood_test,0.81
40,surgery,other_test,0.0
41,surgery,imaging,0.56
42,surgery,deworming,0.0
43,surgery,anti_parasitic_treatment,0.0
44,surgery,travel_papers,0.0
45,follow_up,annual_vaccination,0.15
46,follow_up,rabies_vaccination,0.1
47,follow_up,physical_examination,1.0
48,follow_up,blood_test,0.4
49,follow_up,other_test,0.3
50,follow_up,imaging,0.2
51,follow_up,deworming,0.5
52,follow_up,anti_parasitic_treatment,0.35
53,follow_up,travel_papers,0.0
54,follow_up_surgery,annual_vaccination,0.0
55,follow_up_surgery,rabies_vaccination,0.0
56,follow_up_surgery,physical_examination,1.0
57,follow_up_surgery,blood_test,0.32
58,follow_up_surgery,other_test,0.13
59,follow_up_surgery,imaging,0.43
60,follow_up_surgery,deworming,0.0
61,follow_up_surgery,anti_parasitic_treatment,0.0
62,follow_up_surgery,travel_papers,0.0
